BLUE,GREEN,RED,NIR,SWIR,Landcover
1030.0,1094.8572,1135.3334,1197.5,1720.5,road
1112.0,1174.0,1193.5,1256.0,1727.75,road
1170.5,1206.0,1259.0,1295.5,1806.1111,road
1170.5,1206.0,1259.0,1295.5,1806.1111,road
1400.0,1481.5,1533.3334,1613.5,1806.1111,road
1616.0,1715.8334,1704.0,1832.0,1769.2,road
1139.0,1194.0,1204.0,1274.0,1800.3334,road
1410.0,1462.0,1479.0,1518.0,1800.3334,road
1410.0,1462.0,1479.0,1518.0,1800.3334,road
1664.25,1724.75,1772.0,1862.0,1806.1111,road
1439.0,1526.8334,1604.6666,1645.3334,1806.1111,road
1317.3334,1448.6666,1478.0,1526.0,1769.2,road
1230.0,1279.0,1303.0,1363.0,1799.25,road
1581.75,1618.6666,1608.6666,1782.0,1867.625,road
1676.3334,1753.4667,1787.3334,1877.6666,1867.625,road
1676.3334,1753.4667,1787.3334,1877.6666,1867.625,road
1552.5,1688.0,1689.5,1744.4,1688.3334,road
1272.0,1351.3334,1338.6666,1440.0,1688.3334,road
1111.3334,1155.0,1175.2,1238.0,1453.5,road
1044.3334,1081.0,1066.0,1170.0,1453.5,road
1112.5,1122.6666,1126.0,1331.3334,1691.75,road
1251.5,1288.0,1306.0,1432.5,1799.25,road
1477.5,1523.0,1557.3334,1621.5,1799.25,road
1591.0,1718.6666,1739.0,1755.3,1867.625,road
1420.0,1517.6666,1512.5,1605.0,1867.625,road
1420.0,1517.6666,1512.5,1605.0,1867.625,road
1225.3334,1286.0,1304.5714,1338.0,1688.3334,road
1097.2,1128.8572,1115.3334,1177.3334,1693.7916,road
951.6,1001.25,1007.5,1093.0,1439.25,road
1239.6,1303.0,1318.5,1413.3334,1803.6666,road
1416.5,1469.8334,1467.3334,1559.0,1803.6666,road
1485.3334,1572.6666,1632.0,1700.0,1750.75,road
1426.0,1550.0,1589.5,1654.0,1750.75,road
1303.0,1414.3334,1387.0,1423.0,1561.5,road
1130.5,1216.0,1226.0,1225.6,1561.5,road
1130.5,1216.0,1226.0,1225.6,1561.5,road
1030.0,1078.4,1084.0,1152.4,1409.8,road
938.2857,999.5,974.0,1088.75,1409.8,road
